n_types,n_tokens,sample_id
77,100,36
132,200,36
182,300,36
213,400,36
281,500,36
300,600,36
333,700,36
362,800,36
407,900,36
449,1000,36
477,1000,36
706,2000,36
996,3000,36
1205,4000,36
1377,5000,36
1564,6000,36
1636,7000,36
1834,8000,36
1978,9000,36
2102,10000,36
2061,10000,36
3217,20000,36
3916,30000,36
4500,40000,36
4987,50000,36
5415,60000,36
5830,70000,36
6198,80000,36
6609,90000,36
6907,100000,36
6940,100000,36
9208,200000,36
10660,300000,36
11873,400000,36
12743,500000,36
13639,600000,36
14359,700000,36
84,100,37
134,200,37
196,300,37
216,400,37
260,500,37
318,600,37
365,700,37
368,800,37
447,900,37
458,1000,37
450,1000,37
733,2000,37
1000,3000,37
1194,4000,37
1383,5000,37
1572,6000,37
1725,7000,37
1859,8000,37
1977,9000,37
2103,10000,37
2201,10000,37
3162,20000,37
3875,30000,37
4537,40000,37
4972,50000,37
5424,60000,37
5934,70000,37
6279,80000,37
6615,90000,37
6842,100000,37
6826,100000,37
9094,200000,37
10640,300000,37
11873,400000,37
12815,500000,37
13585,600000,37
14341,700000,37
72,100,38
137,200,38
189,300,38
233,400,38
250,500,38
339,600,38
341,700,38
385,800,38
451,900,38
462,1000,38
451,1000,38
758,2000,38
926,3000,38
1208,4000,38
1392,5000,38
1571,6000,38
1739,7000,38
1831,8000,38
2008,9000,38
2106,10000,38
2164,10000,38
3156,20000,38
3936,30000,38
4480,40000,38
4947,50000,38
5446,60000,38
5947,70000,38
6221,80000,38
6555,90000,38
6890,100000,38
6935,100000,38
9159,200000,38
10714,300000,38
11837,400000,38
12794,500000,38
13637,600000,38
14359,700000,38
76,100,39
129,200,39
193,300,39
234,400,39
278,500,39
305,600,39
342,700,39
391,800,39
429,900,39
453,1000,39
462,1000,39
752,2000,39
983,3000,39
1198,4000,39
1406,5000,39
1544,6000,39
1722,7000,39
1878,8000,39
1957,9000,39
2136,10000,39
2193,10000,39
3149,20000,39
3867,30000,39
4495,40000,39
5029,50000,39
5477,60000,39
5863,70000,39
6189,80000,39
6577,90000,39
6906,100000,39
6808,100000,39
9288,200000,39
10574,300000,39
11815,400000,39
12819,500000,39
13622,600000,39
14353,700000,39
75,100,40
134,200,40
179,300,40
238,400,40
274,500,40
306,600,40
351,700,40
390,800,40
428,900,40
472,1000,40
449,1000,40
758,2000,40
1024,3000,40
1190,4000,40
1360,5000,40
1581,6000,40
1745,7000,40
1887,8000,40
1982,9000,40
2139,10000,40
2102,10000,40
3160,20000,40
3972,30000,40
4542,40000,40
5010,50000,40
5472,60000,40
5863,70000,40
6243,80000,40
6584,90000,40
6935,100000,40
6840,100000,40
9198,200000,40
10630,300000,40
11831,400000,40
12805,500000,40
13634,600000,40
14353,700000,40
73,100,41
141,200,41
186,300,41
239,400,41
274,500,41
309,600,41
376,700,41
389,800,41
447,900,41
507,1000,41
445,1000,41
745,2000,41
992,3000,41
1227,4000,41
1404,5000,41
1545,6000,41
1672,7000,41
1896,8000,41
1978,9000,41
2131,10000,41
2134,10000,41
